Date	Mileage	Miles Remaining	Gallons Filled	Price Per Gallon	MPG
09/20/2016	403.9	62	16	1.95	29.1
10/20/2016	381.8	71	16	1.97	28.6
11/20/2016	440.4	50	16	2.03	28.6
12/04/2016	458.7	51	16	1.93	28.2
12/16/2016	381.4	90	16	1.91	27.3
01/10/2017	478.4	39	15.987	2.03	26.8
01/27/2017	419.8	27	14.812	2.14	27.5
02/16/2017	479.6	29	18.000	2.099	27.7
03/03/2017	478.1	50	18.001	2.059	28.0
03/21/2017	451.1	40	16.051	1.999	27.7
04/04/2017	474.7	46	17.009	1.969	28.9
04/21/2017	496.0	11	16.659	2.019	27.9
05/13/2017	521.6	20	19.001	2.129	28.5
06/20/2017  400 50  15.7  2.079  25
